Repeticao,Parcela,Velocidade(KM/h),DS(cm),Classificação
2,79,3.2,4.46,Duplo
2,80,3.2,11.26,Aceitável
2,81,3.2,12.08,Aceitável
2,82,3.2,8.35,Aceitável
2,83,3.2,11.22,Aceitável
2,84,3.2,2.85,Duplo
2,85,3.2,7.88,Aceitável
2,86,3.2,2.71,Duplo
2,87,3.2,4.80,Aceitável
2,88,3.2,2.59,Duplo
2,89,3.2,8.11,Aceitável
2,90,3.2,13.26,Aceitável
2,91,3.2,11.63,Aceitável
2,92,3.2,6.95,Aceitável
2,93,3.2,6.05,Aceitável
2,94,3.2,5.18,Aceitável
2,95,3.2,7.93,Aceitável
2,96,3.2,12.07,Aceitável
2,97,3.2,3.54,Duplo
2,98,3.2,6.69,Aceitável
2,99,3.2,4.71,Aceitável
2,100,3.2,10.71,Aceitável
2,101,3.2,10.40,Aceitável
2,102,3.2,12.16,Aceitável
2,103,3.2,5.43,Aceitável
2,104,3.2,7.69,Aceitável
2,105,3.2,11.75,Aceitável
2,106,3.2,11.92,Aceitável
2,107,3.2,7.58,Aceitável
2,108,3.2,7.81,Aceitável
2,109,3.2,13.23,Aceitável
2,110,3.2,13.04,Aceitável
2,111,3.2,10.77,Aceitável
2,112,3.2,6.87,Aceitável
2,113,3.2,8.80,Aceitável
2,114,3.2,5.33,Aceitável
2,115,3.2,5.61,Aceitável
2,116,3.2,6.52,Aceitável
2,117,3.2,5.63,Aceitável
2,118,3.2,8.29,Aceitável
2,119,3.2,12.95,Aceitável
2,120,3.2,10.30,Aceitável
3,1,3.2,7.00,Aceitável
3,2,3.2,10.17,Aceitável
3,3,3.2,13.25,Aceitável
3,4,3.2,3.78,Duplo
3,5,3.2,13.71,Nulo
3,6,3.2,9.66,Aceitável
3,7,3.2,3.60,Duplo
3,8,3.2,4.75,Aceitável
3,9,3.2,8.66,Aceitável
3,10,3.2,9.77,Aceitável
3,11,3.2,10.13,Aceitável
3,12,3.2,3.66,Duplo
3,13,3.2,13.66,Nulo
3,14,3.2,8.86,Aceitável
3,15,3.2,4.49,Duplo
3,16,3.2,3.32,Duplo
3,17,3.2,5.03,Aceitável
3,18,3.2,14.18,Nulo
3,19,3.2,12.73,Aceitável
3,20,3.2,6.12,Aceitável
3,21,3.2,6.14,Aceitável
3,22,3.2,6.60,Aceitável
3,23,3.2,14.32,Nulo
3,24,3.2,3.10,Duplo
3,25,3.2,7.75,Aceitável
3,26,3.2,5.93,Aceitável
3,27,3.2,4.64,Aceitável
3,28,3.2,13.05,Aceitável
3,29,3.2,7.95,Aceitável
3,30,3.2,3.94,Duplo
3,31,3.2,4.25,Duplo
3,32,3.2,6.45,Aceitável
3,33,3.2,11.78,Aceitável
3,34,3.2,4.67,Aceitável
3,35,3.2,7.88,Aceitável
3,36,3.2,2.94,Duplo
3,37,3.2,12.26,Aceitável
3,38,3.2,13.50,Nulo
3,39,3.2,8.98,Aceitável
3,40,3.2,7.08,Aceitável
3,41,3.2,8.92,Aceitável
3,42,3.2,10.21,Aceitável
3,43,3.2,13.59,Nulo
3,44,3.2,3.55,Duplo
3,45,3.2,2.58,Duplo
3,46,3.2,6.87,Aceitável
3,47,3.2,9.04,Aceitável
3,48,3.2,9.95,Aceitável
3,49,3.2,4.41,Duplo
3,50,3.2,8.97,Aceitável
3,51,3.2,11.59,Aceitável
3,52,3.2,3.39,Duplo
3,53,3.2,2.58,Duplo
3,54,3.2,5.26,Aceitável
3,55,3.2,8.11,Aceitável
3,56,3.2,3.40,Duplo
3,57,3.2,8.44,Aceitável
3,58,3.2,6.87,Aceitável
3,59,3.2,9.21,Aceitável
3,60,3.2,11.51,Aceitável
